# beam00
#  May 2019 
#  For 2018 SPT-3G Data 
# Beam product computed from the last 5 Mars observations of 2018. Mars maps are made in source-centered coordinates. Spectra are corrected by the 15 arcsecond size of Mars, the 0.2 arcmin pixel window function, and the transfer function for the third order polynomial filter computed from mock observations. This beam is convolved with a 42 arcsecond Gaussian to account for pointing jitter in the field observations as determined from taking the cross spectra of the ten brightest point sources in the 2018 field observations of ID 47* to 57*. The jitter beam calculation is found by dividing the mean point source beam by the mean Mars beam, and fitting a Gaussian. The mean Gaussian across the three frequencies is used. The per-ell beam is a cubic interpolation between points from ell=50 to ell=20000 in bin size=50It is zero above ell=20000 and the constant at the lowest bin value below ell=50.The beam is normalized to 1 between ell=600 and ell=1000.
#  ell 90 150 220
0.000000000000000000e+00 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
1.000000000000000000e+00 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
2.000000000000000000e+00 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
3.000000000000000000e+00 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
4.000000000000000000e+00 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
5.000000000000000000e+00 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
6.000000000000000000e+00 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
7.000000000000000000e+00 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
8.000000000000000000e+00 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
9.000000000000000000e+00 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
1.000000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
1.100000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
1.200000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
1.300000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
1.400000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
1.500000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
1.600000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
1.700000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
1.800000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
1.900000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
2.000000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
2.100000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
2.200000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
2.300000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
2.400000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
2.500000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
2.600000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
2.700000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
2.800000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
2.900000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
3.000000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
3.100000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
3.200000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
3.300000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
3.400000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
3.500000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
3.600000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
3.700000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
3.800000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
3.900000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
4.000000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
4.100000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
4.200000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
4.300000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
4.400000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
4.500000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
4.600000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
4.700000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
4.800000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
4.900000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
5.000000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
5.100000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
5.200000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
5.300000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
5.400000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
5.500000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
5.600000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
5.700000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
5.800000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
5.900000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
6.000000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
6.100000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
6.200000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
6.300000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
6.400000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
6.500000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
6.600000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
6.700000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
6.800000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
6.900000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
7.000000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
7.100000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
7.200000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
7.300000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
7.400000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
7.500000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
7.600000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
7.700000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
7.800000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
7.900000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
8.000000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
8.100000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
8.200000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
8.300000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
8.400000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
8.500000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
8.600000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
8.700000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
8.800000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
8.900000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
9.000000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
9.100000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
9.200000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
9.300000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
9.400000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
9.500000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
9.600000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
9.700000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
9.800000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
9.900000000000000000e+01 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
1.000000000000000000e+02 1.029576735466040116e+00 1.021378656653788797e+00 1.029103606149543326e+00
1.010000000000000000e+02 1.031088587443508731e+00 1.020932632884196112e+00 1.028355861385288561e+00
1.020000000000000000e+02 1.032528755517954089e+00 1.020503327951436390e+00 1.027642478367069900e+00
1.030000000000000000e+02 1.033898519575984443e+00 1.020090507291482984e+00 1.026962872441413710e+00
1.040000000000000000e+02 1.035199159504208044e+00 1.019693936340308804e+00 1.026316458954846356e+00
1.050000000000000000e+02 1.036431955189234255e+00 1.019313380533887425e+00 1.025702653253895313e+00
