# Index	RA	DEC	Radius	Flux
# 	(deg)	(deg)	(deg)	(mJy)
1 	32.68567 	-51.01868 	0.0833 	3784.7920
2 	352.31965 	-47.51391 	0.0833 	1374.5322
3 	314.06320 	-47.25014 	0.0833 	1357.0432
4 	329.28878 	-69.67988 	0.0833 	1054.1757
5 	23.26837 	-52.00047 	0.0833 	1001.6980
6 	47.48028 	-60.97607 	0.0833 	853.0252
7 	359.46486 	-53.19358 	0.0833 	841.6969
8 	43.36066 	-54.69890 	0.0833 	824.7688
9 	45.96458 	-62.18954 	0.0833 	822.9231
10 	14.69633 	-56.99209 	0.0833 	764.7714
11 	338.79370 	-48.60775 	0.0833 	732.1929
12 	41.48983 	-46.85864 	0.0833 	706.2326
13 	354.13740 	-41.26666 	0.0833 	691.5188
14 	331.92113 	-53.77757 	0.0833 	604.5051
15 	12.49436 	-57.64036 	0.0833 	556.4923
16 	37.08132 	-55.77316 	0.0833 	488.0433
17 	357.35338 	-49.54834 	0.0833 	465.3471
18 	7.56337 	-42.41888 	0.0833 	442.8457
19 	337.26586 	-69.16648 	0.0833 	433.0611
20 	353.07305 	-41.31982 	0.0833 	384.7268
21 	325.44957 	-64.18984 	0.0833 	369.8583
22 	15.89284 	-64.64881 	0.0833 	361.8423
23 	352.32895 	-49.93371 	0.0833 	347.8590
24 	12.78870 	-42.45428 	0.0833 	337.9829
25 	306.85981 	-70.11332 	0.0833 	335.3042
26 	21.81106 	-48.22728 	0.0833 	333.9712
27 	308.96516 	-68.77196 	0.0833 	325.3644
28 	18.08731 	-66.57638 	0.0833 	308.9813
29 	354.04783 	-52.61311 	0.0833 	307.0391
30 	6.04520 	-68.34268 	0.0833 	305.8728
31 	37.79461 	-47.77863 	0.0833 	284.9919
32 	359.50536 	-45.92495 	0.0833 	275.9903
33 	348.92307 	-50.31745 	0.0833 	270.2648
34 	339.79400 	-57.02188 	0.0833 	258.2934
35 	317.37939 	-41.18030 	0.0833 	255.6075
36 	337.73275 	-44.28052 	0.0833 	251.9707
37 	41.46712 	-45.00151 	0.0833 	245.8895
38 	42.87048 	-60.00079 	0.0833 	241.5341
39 	331.00960 	-61.50882 	0.0833 	240.8126
40 	356.92800 	-49.77935 	0.0833 	234.5461
41 	1.13919 	-47.61062 	0.0833 	223.1507
42 	359.00036 	-68.32580 	0.0833 	215.6692
43 	48.60466 	-65.80288 	0.0833 	208.7168
44 	349.66360 	-67.89662 	0.0833 	206.9096
45 	39.22460 	-61.60338 	0.0833 	199.9448
46 	36.42553 	-45.06570 	0.0833 	197.2488
47 	321.62390 	-46.10536 	0.0833 	195.3683
48 	33.56774 	-61.82682 	0.0833 	192.5590
49 	2.00067 	-52.72684 	0.0833 	190.5302
50 	35.22151 	-63.50139 	0.0833 	190.4951
51 	30.28339 	-66.63704 	0.0833 	184.9371
52 	4.63477 	-42.04401 	0.0833 	181.0900
53 	359.75162 	-60.90445 	0.0833 	180.9707
54 	356.81984 	-51.18007 	0.0833 	178.9808
55 	341.56470 	-56.13028 	0.0833 	176.5366
56 	4.86918 	-56.70027 	0.0833 	172.6378
57 	12.41774 	-70.86365 	0.0833 	170.0508
58 	347.21272 	-45.97261 	0.0833 	169.9768
59 	357.11981 	-60.82458 	0.0833 	168.8154
60 	334.46227 	-70.74250 	0.0833 	167.0589
61 	320.26313 	-61.19220 	0.0833 	165.2988
62 	316.24883 	-48.81400 	0.0833 	159.7724
63 	330.22164 	-55.33400 	0.0833 	152.8308
64 	6.44164 	-48.06923 	0.0833 	149.6475
65 	345.93185 	-68.11829 	0.0833 	148.4891
66 	332.89624 	-48.85351 	0.0833 	147.0652
67 	319.89962 	-45.76145 	0.0833 	140.2525
68 	317.20962 	-66.61942 	0.0833 	137.1836
69 	15.54535 	-56.62304 	0.0833 	134.9783
70 	26.06385 	-64.35736 	0.0833 	134.6569
71 	45.96332 	-64.97805 	0.0833 	133.9357
72 	314.13573 	-58.33829 	0.0833 	133.8856
73 	323.55856 	-65.22695 	0.0833 	132.6178
74 	15.31040 	-62.55161 	0.0833 	130.8476
75 	12.31905 	-44.96322 	0.0833 	125.6221
76 	348.53014 	-44.93964 	0.0833 	123.0178
77 	340.78368 	-62.84500 	0.0833 	122.7111
78 	3.33893 	-50.08901 	0.0833 	122.6215
79 	353.68079 	-52.86103 	0.0833 	117.8411
80 	28.63551 	-66.06680 	0.0833 	115.5828
81 	11.56484 	-42.13759 	0.0833 	114.9487
82 	343.74289 	-59.43867 	0.0833 	113.6983
83 	332.20191 	-63.42445 	0.0833 	113.4498
84 	38.80955 	-47.16253 	0.0833 	112.1742
85 	343.65198 	-41.67341 	0.0833 	109.0178
86 	310.00487 	-57.58688 	0.0833 	108.4404
87 	35.86844 	-53.79486 	0.0833 	107.7874
88 	358.28968 	-48.10460 	0.0833 	107.7840
89 	359.32726 	-48.64320 	0.0833 	107.4903
90 	349.03809 	-42.59200 	0.0833 	107.2118
91 	31.66380 	-61.72156 	0.0833 	106.4328
92 	4.67378 	-45.96770 	0.0833 	105.6457
93 	327.57439 	-68.04138 	0.0833 	104.6471
94 	17.31150 	-60.83259 	0.0833 	104.2221
95 	44.65306 	-50.86972 	0.0833 	102.8083
96 	337.78195 	-62.51747 	0.0833 	102.7479
97 	344.64286 	-70.23815 	0.0833 	101.9832
98 	2.96215 	-41.10977 	0.0833 	100.9971
99 	351.35494 	-48.00914 	0.0833 	99.2697
100 	359.70046 	-60.87933 	0.0833 	99.1880
101 	31.97566 	-68.62365 	0.0833 	98.1571
102 	349.62138 	-48.32134 	0.0833 	97.7261
103 	47.54170 	-57.51562 	0.0833 	97.4750
104 	8.51329 	-41.28049 	0.0833 	97.1122
105 	26.69378 	-52.05175 	0.0833 	96.2763
106 	41.55214 	-49.90136 	0.0833 	95.1337
107 	332.31607 	-47.17632 	0.0833 	95.1082
108 	33.53751 	-70.44342 	0.0833 	95.0431
109 	21.22995 	-51.22691 	0.0833 	94.3716
110 	355.82414 	-57.16800 	0.0833 	93.5668
111 	352.64879 	-45.67148 	0.0833 	92.7664
112 	351.95163 	-66.74572 	0.0833 	90.7099
113 	345.95989 	-54.11310 	0.0833 	90.1112
114 	17.56855 	-63.26374 	0.0833 	88.9740
115 	345.66698 	-45.57292 	0.0833 	86.5006
116 	44.40542 	-61.20730 	0.0833 	86.0754
117 	349.07705 	-43.63912 	0.0833 	84.3189
118 	349.58859 	-42.37486 	0.0833 	82.5644
119 	316.75821 	-65.78932 	0.0833 	82.5615
120 	332.09065 	-64.06657 	0.0833 	82.3164
121 	354.11308 	-48.12743 	0.0833 	82.2309
122 	2.28406 	-46.22681 	0.0833 	82.1100
123 	28.57844 	-51.13720 	0.0833 	81.3586
124 	313.28182 	-62.93125 	0.0833 	80.9649
125 	314.40218 	-57.00897 	0.0833 	79.6754
126 	323.81986 	-50.11886 	0.0833 	79.0943
127 	25.60054 	-57.50392 	0.0833 	78.9026
128 	324.84296 	-42.59999 	0.0833 	78.5193
129 	355.85910 	-56.44295 	0.0833 	78.4414
130 	347.25171 	-50.85118 	0.0833 	78.1379
131 	1.02524 	-43.75750 	0.0833 	77.6777
132 	310.82062 	-62.92920 	0.0833 	77.4866
133 	357.89158 	-43.00070 	0.0833 	77.3187
134 	317.21285 	-48.77712 	0.0833 	76.5045
135 	312.79327 	-45.44418 	0.0833 	75.3497
136 	330.01382 	-54.93309 	0.0833 	75.0207
137 	22.09269 	-56.83106 	0.0833 	73.9041
138 	37.29438 	-54.06320 	0.0833 	73.6090
139 	324.11773 	-54.56594 	0.0833 	72.8521
140 	14.32303 	-70.67190 	0.0833 	72.1384
141 	333.39619 	-63.50114 	0.0833 	71.4511
142 	44.69902 	-53.53977 	0.0833 	71.0990
143 	48.59931 	-51.07795 	0.0833 	71.0169
144 	33.54949 	-58.37166 	0.0833 	70.6410
145 	5.92905 	-59.51399 	0.0833 	69.9315
146 	29.60382 	-58.18256 	0.0833 	69.7433
147 	350.42216 	-64.63028 	0.0833 	69.1456
148 	354.36662 	-59.02521 	0.0833 	68.6279
149 	332.66745 	-50.45147 	0.0833 	68.5157
150 	321.11471 	-49.80348 	0.0833 	68.0212
151 	49.48428 	-44.24326 	0.0833 	67.4955
152 	20.94307 	-46.39677 	0.0833 	67.2635
153 	349.76859 	-42.12349 	0.0833 	66.0867
154 	352.01347 	-41.31054 	0.0833 	65.7745
155 	315.92121 	-62.53742 	0.0833 	65.6760
156 	351.65924 	-61.10502 	0.0833 	65.1176
157 	313.70587 	-54.66017 	0.0833 	64.7912
158 	5.75839 	-56.83764 	0.0833 	64.2091
159 	313.05215 	-55.55199 	0.0833 	64.1753
160 	313.02545 	-65.37936 	0.0833 	64.1149
161 	50.79492 	-60.44372 	0.0833 	64.0052
162 	16.03613 	-56.96091 	0.0833 	63.6110
163 	351.91104 	-45.18438 	0.0833 	62.3665
164 	49.74393 	-56.84329 	0.0833 	62.3272
165 	37.78947 	-57.92503 	0.0833 	62.3240
166 	1.84255 	-61.21765 	0.0833 	62.1150
167 	349.31545 	-62.25965 	0.0833 	61.4508
168 	41.80673 	-63.42404 	0.0833 	61.0596
169 	350.23890 	-54.04621 	0.0833 	60.9047
170 	318.44959 	-59.30446 	0.0833 	60.4853
171 	329.97843 	-62.08602 	0.0833 	60.3445
172 	332.15963 	-57.44430 	0.0833 	60.0809
173 	330.74592 	-49.62324 	0.0833 	59.9184
174 	19.94807 	-53.95562 	0.0833 	59.8995
175 	338.59038 	-54.09699 	0.0833 	58.0274
176 	14.18969 	-44.86128 	0.0833 	57.4152
177 	45.85792 	-52.57707 	0.0833 	57.1460
178 	21.59419 	-51.05816 	0.0833 	56.8077
179 	48.02748 	-55.69377 	0.0833 	56.7819
180 	19.61558 	-51.26584 	0.0833 	56.6782
181 	37.34596 	-52.54549 	0.0833 	56.6720
182 	18.30408 	-67.88140 	0.0833 	55.9959
183 	322.71261 	-45.27025 	0.0833 	55.4946
184 	29.29141 	-46.01898 	0.0833 	55.4736
185 	14.73074 	-52.32543 	0.0833 	55.0636
186 	326.20164 	-69.77525 	0.0833 	54.6694
187 	329.99056 	-47.87223 	0.0833 	54.4948
188 	341.99970 	-48.90963 	0.0833 	54.4533
189 	36.09628 	-70.71531 	0.0833 	54.0963
190 	7.88503 	-51.72268 	0.0833 	53.8816
191 	25.74412 	-60.74808 	0.0833 	53.8275
192 	51.01860 	-55.34733 	0.0833 	53.7501
193 	316.51538 	-71.36563 	0.0833 	53.4974
194 	23.92840 	-42.29130 	0.0833 	53.4442
195 	12.27317 	-55.35372 	0.0833 	53.3483
196 	19.23594 	-65.36303 	0.0833 	53.2243
197 	10.03325 	-59.06389 	0.0833 	52.7708
198 	316.02226 	-51.95803 	0.0833 	52.7528
199 	0.72057 	-59.80239 	0.0833 	52.6267
200 	51.71203 	-53.62135 	0.0833 	52.5253
201 	330.53711 	-49.42715 	0.0833 	52.2471
202 	308.83728 	-49.96988 	0.0833 	52.1652
203 	29.45602 	-46.24721 	0.0833 	51.8507
204 	8.44807 	-42.61399 	0.0833 	51.4361
205 	326.92712 	-55.44036 	0.0833 	51.0363
206 	34.93051 	-68.09670 	0.0833 	50.9705
207 	10.59654 	-43.56576 	0.0833 	50.8208
208 	336.16476 	-46.66960 	0.0833 	50.5715
209 	359.83701 	-60.95460 	0.0833 	50.5264
210 	308.31350 	-44.59772 	0.0833 	49.7178
211 	315.28553 	-44.85744 	0.0833 	49.7136
212 	309.27619 	-42.40983 	0.0833 	49.3864
213 	23.24119 	-44.51817 	0.0833 	48.9673
214 	14.26987 	-52.24113 	0.0833 	48.8659
215 	46.56231 	-55.46617 	0.0833 	48.6532
216 	314.30097 	-49.02507 	0.0833 	48.5718
217 	33.80351 	-65.33462 	0.0833 	48.4285
218 	323.02192 	-54.34569 	0.0833 	48.3725
219 	354.33986 	-52.27677 	0.0833 	47.7346
220 	23.38023 	-44.74675 	0.0833 	47.1455
221 	340.97435 	-56.94406 	0.0833 	47.1149
222 	37.55263 	-62.23802 	0.0833 	47.0963
223 	35.46933 	-56.79260 	0.0833 	47.0935
224 	344.11429 	-65.55124 	0.0833 	47.0539
225 	309.93975 	-50.02420 	0.0833 	47.0453
226 	46.11554 	-43.56161 	0.0833 	46.7946
227 	349.93680 	-46.84258 	0.0833 	46.7741
228 	37.82916 	-58.68742 	0.0833 	46.4076
229 	359.94088 	-50.71686 	0.0833 	46.2958
230 	24.91182 	-47.53756 	0.0833 	46.0833
231 	29.56098 	-50.07565 	0.0833 	46.0107
232 	348.23934 	-66.12350 	0.0833 	45.9002
233 	315.48992 	-42.33355 	0.0833 	45.8512
234 	50.68263 	-59.00658 	0.0833 	45.6635
235 	334.96660 	-63.56218 	0.0833 	45.6534
236 	34.18097 	-47.82513 	0.0833 	45.5195
237 	320.94039 	-47.22962 	0.0833 	45.4539
238 	345.40550 	-59.22575 	0.0833 	45.0477
239 	312.10743 	-68.07451 	0.0833 	44.8267
240 	24.97753 	-43.92307 	0.0833 	44.4035
241 	338.59098 	-44.02595 	0.0833 	44.3027
242 	336.77639 	-52.33441 	0.0833 	44.1240
243 	332.03481 	-45.16507 	0.0833 	44.0440
244 	354.91325 	-66.95481 	0.0833 	43.9563
245 	13.95674 	-61.60889 	0.0833 	43.8201
246 	17.40064 	-59.80631 	0.0833 	43.6626
247 	14.92351 	-63.47263 	0.0833 	43.5039
248 	339.77127 	-55.43107 	0.0833 	43.1099
249 	318.56341 	-68.84889 	0.0833 	43.0818
250 	312.54359 	-49.46194 	0.0833 	43.0366
251 	15.96308 	-63.85185 	0.0833 	42.7320
252 	47.99847 	-65.40319 	0.0833 	42.7212
253 	331.32907 	-42.37083 	0.0833 	42.6401
254 	339.60188 	-51.24110 	0.0833 	42.6057
255 	314.66230 	-57.94144 	0.0833 	42.5815
256 	344.85362 	-48.30782 	0.0833 	42.5347
257 	311.41067 	-55.43576 	0.0833 	42.4517
258 	356.17596 	-61.13562 	0.0833 	42.3678
259 	345.40123 	-64.06892 	0.0833 	42.3175
260 	329.82838 	-46.03168 	0.0833 	42.3129
261 	24.95495 	-52.30137 	0.0833 	42.0909
262 	14.01625 	-52.69802 	0.0833 	42.0896
263 	35.36336 	-47.22574 	0.0833 	41.7690
264 	348.14369 	-65.56485 	0.0833 	41.7655
265 	343.58812 	-51.81506 	0.0833 	41.7289
266 	348.38506 	-52.00892 	0.0833 	41.5922
267 	324.09817 	-63.59209 	0.0833 	41.5039
268 	321.94109 	-57.75827 	0.0833 	41.3628
269 	4.69014 	-51.25138 	0.0833 	41.1174
270 	312.10436 	-52.70080 	0.0833 	41.0626
271 	40.39649 	-49.42146 	0.0833 	40.9808
272 	316.56733 	-58.05095 	0.0833 	40.9465
273 	343.95484 	-52.76594 	0.0833 	40.9267
274 	324.50172 	-46.78306 	0.0833 	40.9096
275 	5.62428 	-51.89372 	0.0833 	40.6811
276 	49.16295 	-43.86398 	0.0833 	40.3776
277 	14.84556 	-61.43986 	0.0833 	40.3569
278 	29.20926 	-54.66698 	0.0833 	40.1880
279 	312.13136 	-58.70849 	0.0833 	40.1559
280 	29.76938 	-45.26593 	0.0833 	40.1544
281 	18.97732 	-50.50107 	0.0833 	40.0666
282 	46.76396 	-57.08809 	0.0833 	40.0656
283 	34.01060 	-52.00492 	0.0833 	40.0095
284 	356.21100 	-59.08304 	0.0833 	39.9467
285 	29.65991 	-64.31884 	0.0833 	39.9285
286 	9.67987 	-62.51657 	0.0833 	39.7825
287 	29.66130 	-64.18954 	0.0833 	39.4804
288 	314.80090 	-67.74900 	0.0833 	39.4271
289 	2.78744 	-50.19662 	0.0833 	39.2123
290 	45.22597 	-51.04532 	0.0833 	39.1900
291 	348.22126 	-44.88587 	0.0833 	39.1405
292 	354.14454 	-66.96328 	0.0833 	39.0284
293 	42.65706 	-63.91752 	0.0833 	38.8545
294 	37.20143 	-48.67631 	0.0833 	38.6432
295 	1.48642 	-56.47854 	0.0833 	38.5405
296 	308.96434 	-66.03147 	0.0833 	38.4412
297 	346.95903 	-41.55062 	0.0833 	38.3122
298 	358.90750 	-54.31534 	0.0833 	38.2634
299 	40.79468 	-51.09562 	0.0833 	38.2182
