obsID, added by, note
50049234, adama, DAQ and pydfmux HWMs out of sync during observation
50061693, adama, DAQ and pydfmux HWMs out of sync during observation
50081192, adama, DAQ and pydfmux HWMs out of sync during observation
50093579, adama, DAQ and pydfmux HWMs out of sync during observation
49814502, ddutcher, aborted at beginning
49231766, ddutcher, fridge blown
49528231, ddutcher, fridge blown
50279250, ddutcher, everything overbiased or bad calsn
55982354, ddutcher, everything overbiased or bad calsn
53588441, ddutcher, only four scans
48085553, ddutcher, only six scans
