#name ra dec peak peak_sigma pol_flux_density pol_flux_density_sigma pol_angle pol_angle_sigma
AT20GJ000012-853919 0.053 -85.656 98 5 <10 - <9.8 -
AT20GJ000020-322101 0.085 -32.350 118 6 <6 - <5.1 -
AT20GJ000105-155107 0.273 -15.852 297 19 <8 - <2.7 -
AT20GJ000106-174126 0.276 -17.691 73 8 <6 - <8.6 -
AT20GJ000118-074626 0.325 -7.774 177 9 <8 - <4.4 -
AT20GJ000124-043759 0.352 -4.633 50 3 <6 - <12.6 -
AT20GJ000125-065624 0.357 -6.940 77 4 <8 - <10.2 -
AT20GJ000212-215309 0.550 -21.886 165 11 <6 - <3.6 -
AT20GJ000221-140643 0.590 -14.112 48 3 <6 - <12.4 -
AT20GJ000230-033140 0.627 -3.528 53 3 <9 - <17.5 -
AT20GJ000249-211419 0.708 -21.239 100 7 <7 - <6.9 -
AT20GJ000252-594814 0.721 -59.804 71 3 <9 - <12.2 -
AT20GJ000253-562110 0.724 -56.353 94 5 <8 - <8.3 -
AT20GJ000303-553007 0.764 -55.502 44 3 <7 - <17.0 -
AT20GJ000311-544516 0.796 -54.755 95 3 <8 - <19.9 -
AT20GJ000313-590547 0.806 -59.097 49 3 <8 - <17.2 -
AT20GJ000316-194150 0.817 -19.697 76 5 <8 - <10.6 -
AT20GJ000322-172711 0.842 -17.453 386 43 14 2 3.7 18
AT20GJ000327-154705 0.864 -15.785 129 8 <10 - <7.5 -
AT20GJ000404-114858 1.020 -11.816 680 32 <7 - <1.0 -
AT20GJ000407-434510 1.030 -43.753 199 10 <8 - <4.1 -
AT20GJ000413-525458 1.058 -52.916 65 3 <7 - <15.7 -
AT20GJ000435-473619 1.149 -47.605 868 36 15 3 1.7 -51
AT20GJ000505-344549 1.275 -34.764 131 6 <6 - <4.6 -
AT20GJ000507-013244 1.279 -1.546 81 4 <6 - <7.8 -
AT20GJ000518-164804 1.325 -16.801 142 9 <6 - <4.2 -
AT20GJ000558-562828 1.493 -56.475 151 5 <7 - <7.2 -
AT20GJ000600-313215 1.502 -31.538 63 4 <9 - <13.8 -
AT20GJ000601-295549 1.505 -29.930 97 6 <6 - <6.2 -
AT20GJ000601-423439 1.508 -42.578 110 5 11 3 9.8 32
AT20GJ000610-830543 1.542 -83.095 167 7 12 3 9.6 -2
AT20GJ000613-062334 1.558 -6.393 2084 101 97 3 4.6 32
AT20GJ000619-424518 1.582 -42.755 183 9 7 2 3.8 0
AT20GJ000622-000423 1.594 -0.073 425 17 11 3 2.5 -53
AT20GJ000635-731144 1.647 -73.196 51 3 <7 - <13.5 -
AT20GJ000713-402337 1.806 -40.394 69 3 <7 - <10.9 -
AT20GJ000720-611306 1.836 -61.219 150 7 <6 - <4.0 -
AT20GJ000800-233918 2.002 -23.655 154 9 <6 - <3.9 -
AT20GJ000801-524339 2.007 -52.728 124 6 <7 - <6.1 -
AT20GJ000809-394522 2.038 -39.756 146 8 <7 - <5.1 -
AT20GJ000826-255911 2.109 -25.986 120 8 7 2 6.0 -26
AT20GJ000828-132930 2.117 -13.492 161 8 <6 - <3.7 -
AT20GJ000829-055845 2.122 -5.979 66 4 <7 - <10.5 -
AT20GJ000831-141959 2.129 -14.333 53 3 <6 - <11.3 -
AT20GJ000837-461940 2.156 -46.328 75 4 <6 - <8.0 -
AT20GJ000922-513011 2.342 -51.503 49 3 <6 - <12.3 -
AT20GJ000927-161028 2.365 -16.175 69 4 <11 - <15.8 -
AT20GJ000935-321637 2.399 -32.277 221 10 <10 - <4.3 -
AT20GJ000937-635734 2.406 -63.960 59 3 <6 - <10.1 -
AT20GJ001000-043348 2.502 -4.563 275 11 <8 - <2.9 -
AT20GJ001026-413001 2.609 -41.501 63 3 <6 - <9.5 -
AT20GJ001035-302748 2.650 -30.463 741 30 30 3 4.1 9
AT20GJ001045-294513 2.688 -29.754 118 7 <6 - <5.1 -
AT20GJ001052-415310 2.719 -41.886 152 8 <7 - <4.5 -
AT20GJ001053-215704 2.724 -21.951 367 23 16 2 4.4 -57
AT20GJ001055-274224 2.730 -27.707 84 6 <6 - <7.1 -
