# This list of sources to mask was generated from TCs list at
# spt3g_software/sources/spt3g_1500d_source_list_tc_05mar19.txt.
# It includes sources with a flux >= 50mJy in any band.
# The largest flux across the bands is the one recorded here.
# I removed all sources with "bad_flag" set to 1.
# -Daniel Dutcher, 15 May 2019
#
#
# Index	RA	DEC	Radius	Flux
#
# 	(deg)	(deg)	(deg)	(mJy)
17 	7.56700 	-42.42200 	0.0833  	450.9620
27 	12.50000 	-57.64300 	0.0833  	571.3780
65 	32.68500 	-51.02200 	0.0833  	3819.5630
77 	37.08500 	-55.76900 	0.0833  	495.4510
86 	41.49600 	-46.86000 	0.0833  	715.3290
90 	43.36500 	-54.70000 	0.0833  	829.6230
96 	45.96600 	-62.18900 	0.0833  	832.7170
97 	47.48800 	-60.97700 	0.0833  	869.8430
120 	314.06400 	-47.25300 	0.0833  	1374.5760
147 	329.28900 	-69.68300 	0.0833  	1114.5240
155 	331.92600 	-53.77800 	0.0833  	610.8180
166 	337.26200 	-69.16900 	0.0833  	445.3310
201 	352.31900 	-47.51100 	0.0833  	1408.0890
216 	357.34800 	-49.54600 	0.0833  	481.6510
221 	359.46500 	-53.19000 	0.0833  	864.2430
