#    L    TT             EE             BB             TE          
     2    0.10439E+04    0.38424E-01    0.18194E-05    0.28923E+01
     3    0.98523E+03    0.55210E-01    0.36563E-05    0.34028E+01
     4    0.92935E+03    0.54049E-01    0.61063E-05    0.33254E+01
     5    0.88685E+03    0.41051E-01    0.91619E-05    0.29410E+01
     6    0.85715E+03    0.25716E-01    0.12833E-04    0.24492E+01
     7    0.83764E+03    0.14293E-01    0.17122E-04    0.19682E+01
     8    0.82526E+03    0.82234E-02    0.22027E-04    0.15601E+01
     9    0.81944E+03    0.58965E-02    0.27553E-04    0.12528E+01
    10    0.81734E+03    0.51144E-02    0.33702E-04    0.10481E+01
    11    0.81822E+03    0.45430E-02    0.40476E-04    0.93697E+00
    12    0.82246E+03    0.38943E-02    0.47873E-04    0.90053E+00
    13    0.82856E+03    0.33838E-02    0.55900E-04    0.91526E+00
    14    0.83573E+03    0.31944E-02    0.64556E-04    0.95993E+00
    15    0.84408E+03    0.32915E-02    0.73843E-04    0.10187E+01
    16    0.85383E+03    0.35267E-02    0.83764E-04    0.10814E+01
    17    0.86480E+03    0.38024E-02    0.94320E-04    0.11424E+01
    18    0.87605E+03    0.41341E-02    0.10551E-03    0.11994E+01
    19    0.88880E+03    0.46030E-02    0.11734E-03    0.12557E+01
    20    0.90169E+03    0.52699E-02    0.12981E-03    0.13101E+01
    21    0.91502E+03    0.61482E-02    0.14292E-03    0.13662E+01
    22    0.92878E+03    0.72151E-02    0.15666E-03    0.14259E+01
    23    0.94289E+03    0.84453E-02    0.17105E-03    0.14905E+01
    24    0.95737E+03    0.98287E-02    0.18607E-03    0.15586E+01
    25    0.97219E+03    0.11372E-01    0.20174E-03    0.16265E+01
    26    0.98727E+03    0.13077E-01    0.21805E-03    0.16921E+01
    27    0.10027E+04    0.14938E-01    0.23500E-03    0.17515E+01
    28    0.10184E+04    0.16948E-01    0.25260E-03    0.18023E+01
    29    0.10344E+04    0.19109E-01    0.27083E-03    0.18440E+01
    30    0.10507E+04    0.21435E-01    0.28972E-03    0.18758E+01
    31    0.10671E+04    0.23951E-01    0.30924E-03    0.18981E+01
    32    0.10837E+04    0.26683E-01    0.32942E-03    0.19115E+01
