#    L    TT             EE             BB             TE             PP             TP             EP
     2    0.10439E+04    0.38423E-01    0.00000E+00    0.28923E+01    0.50249E-07    0.31132E-02   -0.13684E-04
     3    0.98522E+03    0.55206E-01    0.00000E+00    0.34028E+01    0.61085E-07    0.31105E-02   -0.15670E-04
     4    0.92933E+03    0.54043E-01    0.00000E+00    0.33254E+01    0.70392E-07    0.30374E-02   -0.14489E-04
     5    0.88684E+03    0.41042E-01    0.00000E+00    0.29410E+01    0.78470E-07    0.29356E-02   -0.11300E-04
     6    0.85713E+03    0.25703E-01    0.00000E+00    0.24492E+01    0.85513E-07    0.28240E-02   -0.71748E-05
     7    0.83761E+03    0.14276E-01    0.00000E+00    0.19682E+01    0.91707E-07    0.27114E-02   -0.30587E-05
     8    0.82522E+03    0.82014E-02    0.00000E+00    0.15601E+01    0.97188E-07    0.26016E-02    0.32953E-06
     9    0.81939E+03    0.58690E-02    0.00000E+00    0.12528E+01    0.10207E-06    0.24951E-02    0.25649E-05
    10    0.81728E+03    0.50806E-02    0.00000E+00    0.10481E+01    0.10641E-06    0.23950E-02    0.35275E-05
    11    0.81814E+03    0.45025E-02    0.00000E+00    0.93699E+00    0.11031E-06    0.23036E-02    0.33599E-05
    12    0.82238E+03    0.38465E-02    0.00000E+00    0.90055E+00    0.11378E-06    0.22182E-02    0.23818E-05
    13    0.82846E+03    0.33279E-02    0.00000E+00    0.91529E+00    0.11691E-06    0.21404E-02    0.10065E-05
    14    0.83561E+03    0.31299E-02    0.00000E+00    0.95997E+00    0.11970E-06    0.20666E-02   -0.36136E-06
    15    0.84396E+03    0.32177E-02    0.00000E+00    0.10187E+01    0.12222E-06    0.19967E-02   -0.14164E-05
    16    0.85368E+03    0.34429E-02    0.00000E+00    0.10815E+01    0.12449E-06    0.19300E-02   -0.20026E-05
    17    0.86464E+03    0.37080E-02    0.00000E+00    0.11425E+01    0.12649E-06    0.18658E-02   -0.21005E-05
    18    0.87587E+03    0.40286E-02    0.00000E+00    0.11995E+01    0.12831E-06    0.18050E-02   -0.17914E-05
    19    0.88860E+03    0.44856E-02    0.00000E+00    0.12558E+01    0.12993E-06    0.17465E-02   -0.12281E-05
    20    0.90147E+03    0.51401E-02    0.00000E+00    0.13103E+01    0.13136E-06    0.16908E-02   -0.60913E-06
    21    0.91479E+03    0.60052E-02    0.00000E+00    0.13664E+01    0.13263E-06    0.16381E-02   -0.12376E-06
    22    0.92853E+03    0.70585E-02    0.00000E+00    0.14261E+01    0.13376E-06    0.15886E-02    0.11443E-06
    23    0.94262E+03    0.82743E-02    0.00000E+00    0.14908E+01    0.13476E-06    0.15418E-02    0.93454E-07
    24    0.95707E+03    0.96426E-02    0.00000E+00    0.15589E+01    0.13562E-06    0.14973E-02   -0.13160E-06
    25    0.97187E+03    0.11170E-01    0.00000E+00    0.16268E+01    0.13638E-06    0.14553E-02   -0.48646E-06
    26    0.98694E+03    0.12859E-01    0.00000E+00    0.16925E+01    0.13702E-06    0.14150E-02   -0.89108E-06
    27    0.10023E+04    0.14703E-01    0.00000E+00    0.17519E+01    0.13756E-06    0.13770E-02   -0.12519E-05
    28    0.10180E+04    0.16695E-01    0.00000E+00    0.18028E+01    0.13802E-06    0.13404E-02   -0.14744E-05
    29    0.10340E+04    0.18838E-01    0.00000E+00    0.18446E+01    0.13839E-06    0.13049E-02   -0.15082E-05
    30    0.10502E+04    0.21145E-01    0.00000E+00    0.18764E+01    0.13869E-06    0.12707E-02   -0.13782E-05
    31    0.10666E+04    0.23643E-01    0.00000E+00    0.18987E+01    0.13889E-06    0.12376E-02   -0.11640E-05
    32    0.10832E+04    0.26354E-01    0.00000E+00    0.19122E+01    0.13904E-06    0.12061E-02   -0.94699E-06
    33    0.11001E+04    0.29289E-01    0.00000E+00    0.19175E+01    0.13913E-06    0.11759E-02   -0.77477E-06
    34    0.11172E+04    0.32456E-01    0.00000E+00    0.19148E+01    0.13916E-06    0.11469E-02   -0.66912E-06
    35    0.11345E+04    0.35862E-01    0.00000E+00    0.19051E+01    0.13914E-06    0.11191E-02   -0.64892E-06
    36    0.11520E+04    0.39506E-01    0.00000E+00    0.18889E+01    0.13906E-06    0.10927E-02   -0.72993E-06
    37    0.11696E+04    0.43392E-01    0.00000E+00    0.18656E+01    0.13894E-06    0.10674E-02   -0.90083E-06
    38    0.11874E+04    0.47524E-01    0.00000E+00    0.18336E+01    0.13877E-06    0.10431E-02   -0.10988E-05
    39    0.12055E+04    0.51897E-01    0.00000E+00    0.17916E+01    0.13856E-06    0.10197E-02   -0.12736E-05
    40    0.12238E+04    0.56514E-01    0.00000E+00    0.17379E+01    0.13831E-06    0.99700E-03   -0.13816E-05
    41    0.12423E+04    0.61382E-01    0.00000E+00    0.16713E+01    0.13803E-06    0.97504E-03   -0.13944E-05
    42    0.12609E+04    0.66504E-01    0.00000E+00    0.15927E+01    0.13772E-06    0.95374E-03   -0.13439E-05
    43    0.12796E+04    0.71889E-01    0.00000E+00    0.15031E+01    0.13737E-06    0.93308E-03   -0.12698E-05
    44    0.12984E+04    0.77539E-01    0.00000E+00    0.14007E+01    0.13700E-06    0.91313E-03   -0.11833E-05
    45    0.13176E+04    0.83472E-01    0.00000E+00    0.12842E+01    0.13659E-06    0.89390E-03   -0.10925E-05
    46    0.13370E+04    0.89700E-01    0.00000E+00    0.11553E+01    0.13616E-06    0.87535E-03   -0.10222E-05
    47    0.13566E+04    0.96214E-01    0.00000E+00    0.10159E+01    0.13571E-06    0.85740E-03   -0.99844E-06
    48    0.13762E+04    0.10302E+00    0.00000E+00    0.86603E+00    0.13524E-06    0.84009E-03   -0.10359E-05
    49    0.13958E+04    0.11011E+00    0.00000E+00    0.70551E+00    0.13475E-06    0.82347E-03   -0.11355E-05
    50    0.14158E+04    0.11750E+00    0.00000E+00    0.53287E+00    0.13424E-06    0.80745E-03   -0.12557E-05
    51    0.14361E+04    0.12519E+00    0.00000E+00    0.34694E+00    0.13372E-06    0.79194E-03   -0.13509E-05
    52    0.14567E+04    0.13314E+00    0.00000E+00    0.14748E+00    0.13317E-06    0.77686E-03   -0.14033E-05
    53    0.14774E+04    0.14140E+00    0.00000E+00   -0.65501E-01    0.13261E-06    0.76215E-03   -0.14083E-05
    54    0.14980E+04    0.14993E+00    0.00000E+00   -0.29133E+00    0.13204E-06    0.74783E-03   -0.13880E-05
    55    0.15188E+04    0.15875E+00    0.00000E+00   -0.52977E+00    0.13146E-06    0.73395E-03   -0.13651E-05
    56    0.15399E+04    0.16786E+00    0.00000E+00   -0.78252E+00    0.13086E-06    0.72055E-03   -0.13389E-05
    57    0.15614E+04    0.17724E+00    0.00000E+00   -0.10511E+01    0.13026E-06    0.70761E-03   -0.13059E-05
    58    0.15831E+04    0.18693E+00    0.00000E+00   -0.13341E+01    0.12964E-06    0.69502E-03   -0.12751E-05
    59    0.16049E+04    0.19693E+00    0.00000E+00   -0.16297E+01    0.12902E-06    0.68265E-03   -0.12561E-05
    60    0.16268E+04    0.20720E+00    0.00000E+00   -0.19370E+01    0.12838E-06    0.67057E-03   -0.12473E-05
    61    0.16492E+04    0.21772E+00    0.00000E+00   -0.22556E+01    0.12774E-06    0.65886E-03   -0.12452E-05
    62    0.16715E+04    0.22850E+00    0.00000E+00   -0.25868E+01    0.12710E-06    0.64753E-03   -0.12484E-05
    63    0.16940E+04    0.23953E+00    0.00000E+00   -0.29315E+01    0.12644E-06    0.63656E-03   -0.12561E-05
    64    0.17168E+04    0.25085E+00    0.00000E+00   -0.32912E+01    0.12579E-06    0.62593E-03   -0.12678E-05
    65    0.17396E+04    0.26248E+00    0.00000E+00   -0.36665E+01    0.12512E-06    0.61563E-03   -0.12827E-05
    66    0.17627E+04    0.27438E+00    0.00000E+00   -0.40558E+01    0.12445E-06    0.60562E-03   -0.13001E-05
    67    0.17860E+04    0.28654E+00    0.00000E+00   -0.44561E+01    0.12378E-06    0.59590E-03   -0.13193E-05
    68    0.18097E+04    0.29897E+00    0.00000E+00   -0.48658E+01    0.12311E-06    0.58645E-03   -0.13396E-05
    69    0.18337E+04    0.31161E+00    0.00000E+00   -0.52829E+01    0.12243E-06    0.57724E-03   -0.13604E-05
    70    0.18580E+04    0.32449E+00    0.00000E+00   -0.57091E+01    0.12175E-06    0.56826E-03   -0.13810E-05
    71    0.18825E+04    0.33757E+00    0.00000E+00   -0.61467E+01    0.12107E-06    0.55950E-03   -0.14006E-05
    72    0.19072E+04    0.35084E+00    0.00000E+00   -0.65976E+01    0.12038E-06    0.55094E-03   -0.14193E-05
    73    0.19321E+04    0.36428E+00    0.00000E+00   -0.70630E+01    0.11970E-06    0.54259E-03   -0.14369E-05
    74    0.19571E+04    0.37790E+00    0.00000E+00   -0.75428E+01    0.11901E-06    0.53443E-03   -0.14532E-05
    75    0.19823E+04    0.39173E+00    0.00000E+00   -0.80360E+01    0.11833E-06    0.52647E-03   -0.14683E-05
    76    0.20077E+04    0.40578E+00    0.00000E+00   -0.85424E+01    0.11764E-06    0.51869E-03   -0.14820E-05
    77    0.20334E+04    0.42003E+00    0.00000E+00   -0.90613E+01    0.11695E-06    0.51110E-03   -0.14942E-05
    78    0.20593E+04    0.43450E+00    0.00000E+00   -0.95932E+01    0.11627E-06    0.50369E-03   -0.15049E-05
    79    0.20854E+04    0.44912E+00    0.00000E+00   -0.10133E+02    0.11558E-06    0.49645E-03   -0.15140E-05
    80    0.21118E+04    0.46388E+00    0.00000E+00   -0.10683E+02    0.11490E-06    0.48939E-03   -0.15213E-05
    81    0.21384E+04    0.47871E+00    0.00000E+00   -0.11241E+02    0.11421E-06    0.48249E-03   -0.15269E-05
    82    0.21654E+04    0.49366E+00    0.00000E+00   -0.11807E+02    0.11353E-06    0.47575E-03   -0.15309E-05
    83    0.21926E+04    0.50868E+00    0.00000E+00   -0.12381E+02    0.11285E-06    0.46917E-03   -0.15334E-05
    84    0.22201E+04    0.52378E+00    0.00000E+00   -0.12962E+02    0.11217E-06    0.46274E-03   -0.15345E-05
    85    0.22478E+04    0.53895E+00    0.00000E+00   -0.13551E+02    0.11149E-06    0.45646E-03   -0.15344E-05
    86    0.22757E+04    0.55418E+00    0.00000E+00   -0.14147E+02    0.11082E-06    0.45031E-03   -0.15333E-05
    87    0.23040E+04    0.56946E+00    0.00000E+00   -0.14749E+02    0.11015E-06    0.44430E-03   -0.15314E-05
    88    0.23324E+04    0.58480E+00    0.00000E+00   -0.15358E+02    0.10948E-06    0.43842E-03   -0.15287E-05
    89    0.23611E+04    0.60019E+00    0.00000E+00   -0.15975E+02    0.10881E-06    0.43267E-03   -0.15254E-05
    90    0.23900E+04    0.61559E+00    0.00000E+00   -0.16598E+02    0.10814E-06    0.42703E-03   -0.15217E-05
    91    0.24190E+04    0.63098E+00    0.00000E+00   -0.17226E+02    0.10748E-06    0.42151E-03   -0.15177E-05
    92    0.24483E+04    0.64637E+00    0.00000E+00   -0.17859E+02    0.10682E-06    0.41611E-03   -0.15134E-05
    93    0.24779E+04    0.66173E+00    0.00000E+00   -0.18497E+02    0.10616E-06    0.41081E-03   -0.15089E-05
    94    0.25076E+04    0.67703E+00    0.00000E+00   -0.19139E+02    0.10551E-06    0.40562E-03   -0.15042E-05
    95    0.25376E+04    0.69228E+00    0.00000E+00   -0.19785E+02    0.10486E-06    0.40053E-03   -0.14993E-05
    96    0.25675E+04    0.70745E+00    0.00000E+00   -0.20435E+02    0.10421E-06    0.39555E-03   -0.14942E-05
    97    0.25979E+04    0.72253E+00    0.00000E+00   -0.21088E+02    0.10357E-06    0.39067E-03   -0.14890E-05
    98    0.26285E+04    0.73752E+00    0.00000E+00   -0.21742E+02    0.10293E-06    0.38588E-03   -0.14836E-05
    99    0.26593E+04    0.75237E+00    0.00000E+00   -0.22399E+02    0.10229E-06    0.38119E-03   -0.14782E-05
   100    0.26903E+04    0.76709E+00    0.00000E+00   -0.23056E+02    0.10166E-06    0.37660E-03   -0.14726E-05
   101    0.27215E+04    0.78174E+00    0.00000E+00   -0.23715E+02    0.10103E-06    0.37210E-03   -0.14669E-05
   102    0.27532E+04    0.79616E+00    0.00000E+00   -0.24373E+02    0.10040E-06    0.36769E-03   -0.14612E-05
   103    0.27848E+04    0.81043E+00    0.00000E+00   -0.25033E+02    0.99779E-07    0.36337E-03   -0.14555E-05
   104    0.28167E+04    0.82455E+00    0.00000E+00   -0.25691E+02    0.99161E-07    0.35913E-03   -0.14498E-05
   105    0.28488E+04    0.83845E+00    0.00000E+00   -0.26347E+02    0.98546E-07    0.35497E-03   -0.14440E-05
   106    0.28811E+04    0.85221E+00    0.00000E+00   -0.27003E+02    0.97936E-07    0.35090E-03   -0.14383E-05
   107    0.29133E+04    0.86566E+00    0.00000E+00   -0.27655E+02    0.97329E-07    0.34690E-03   -0.14327E-05
   108    0.29459E+04    0.87888E+00    0.00000E+00   -0.28305E+02    0.96726E-07    0.34298E-03   -0.14271E-05
   109    0.29786E+04    0.89181E+00    0.00000E+00   -0.28951E+02    0.96127E-07    0.33913E-03   -0.14216E-05
   110    0.30114E+04    0.90444E+00    0.00000E+00   -0.29593E+02    0.95533E-07    0.33535E-03   -0.14162E-05
   111    0.30444E+04    0.91685E+00    0.00000E+00   -0.30230E+02    0.94942E-07    0.33164E-03   -0.14110E-05
   112    0.30775E+04    0.92895E+00    0.00000E+00   -0.30863E+02    0.94355E-07    0.32800E-03   -0.14059E-05
   113    0.31109E+04    0.94076E+00    0.00000E+00   -0.31490E+02    0.93773E-07    0.32442E-03   -0.14010E-05
