#    L    TT             EE             BB             TE          
     2   0.101726E+04   0.308593E-01   0.184912E-05   0.262402E+01
     3   0.963663E+03   0.396315E-01   0.369548E-05   0.293904E+01
     4   0.912720E+03   0.344450E-01   0.615648E-05   0.275718E+01
     5   0.874656E+03   0.230600E-01   0.923349E-05   0.234879E+01
     6   0.848639E+03   0.129318E-01   0.129278E-04   0.189285E+01
     7   0.832114E+03   0.698988E-02   0.172404E-04   0.148734E+01
     8   0.822304E+03   0.449762E-02   0.221723E-04   0.117462E+01
     9   0.817757E+03   0.360750E-02   0.277245E-04   0.964021E+00
    10   0.817158E+03   0.308550E-02   0.338984E-04   0.846567E+00
    11   0.819413E+03   0.260735E-02   0.406952E-04   0.802968E+00
    12   0.824369E+03   0.228315E-02   0.481166E-04   0.811383E+00
    13   0.830853E+03   0.219636E-02   0.561640E-04   0.850843E+00
    14   0.838693E+03   0.229091E-02   0.648389E-04   0.905715E+00
    15   0.847592E+03   0.247964E-02   0.741431E-04   0.966338E+00
    16   0.857786E+03   0.274191E-02   0.840780E-04   0.102872E+01
    17   0.868705E+03   0.311694E-02   0.946453E-04   0.109090E+01
    18   0.879973E+03   0.364439E-02   0.105847E-03   0.115342E+01
    19   0.892673E+03   0.433674E-02   0.117684E-03   0.121971E+01
    20   0.905637E+03   0.517528E-02   0.130158E-03   0.129008E+01
    21   0.919029E+03   0.614935E-02   0.143271E-03   0.136410E+01
    22   0.932797E+03   0.725971E-02   0.157024E-03   0.144032E+01
    23   0.946928E+03   0.851122E-02   0.171418E-03   0.151639E+01
    24   0.961441E+03   0.990207E-02   0.186456E-03   0.158908E+01
    25   0.976291E+03   0.114305E-01   0.202139E-03   0.165659E+01
    26   0.991450E+03   0.130996E-01   0.218467E-03   0.171770E+01
    27   0.100692E+04   0.149235E-01   0.235442E-03   0.177099E+01
    28   0.102259E+04   0.169197E-01   0.253066E-03   0.181592E+01
    29   0.103866E+04   0.191022E-01   0.271338E-03   0.185293E+01
    30   0.105490E+04   0.214821E-01   0.290261E-03   0.188384E+01
    31   0.107134E+04   0.240682E-01   0.309835E-03   0.190888E+01
