#    L    TT             EE             TE             PP             TP          
     2   0.101725E+04   0.308575E-01   0.262402E+01   0.104081E+07   0.278470E+05
     3   0.963657E+03   0.396279E-01   0.293905E+01   0.159979E+07   0.331941E+05
     4   0.912709E+03   0.344390E-01   0.275720E+01   0.209660E+07   0.356782E+05
     5   0.874639E+03   0.230509E-01   0.234881E+01   0.253522E+07   0.366312E+05
     6   0.848615E+03   0.129190E-01   0.189287E+01   0.292217E+07   0.367347E+05
     7   0.832083E+03   0.697272E-02   0.148736E+01   0.326518E+07   0.363590E+05
     8   0.822263E+03   0.447551E-02   0.117464E+01   0.357052E+07   0.357182E+05
     9   0.817706E+03   0.357984E-02   0.964039E+00   0.384362E+07   0.349377E+05
    10   0.817096E+03   0.305166E-02   0.846585E+00   0.408814E+07   0.340886E+05
    11   0.819339E+03   0.256671E-02   0.802989E+00   0.430864E+07   0.332258E+05
    12   0.824283E+03   0.223507E-02   0.811407E+00   0.450610E+07   0.323425E+05
    13   0.830754E+03   0.214023E-02   0.850874E+00   0.468524E+07   0.314832E+05
    14   0.838579E+03   0.222610E-02   0.905754E+00   0.484619E+07   0.306188E+05
    15   0.847463E+03   0.240551E-02   0.966388E+00   0.499238E+07   0.297699E+05
    16   0.857641E+03   0.265784E-02   0.102878E+01   0.512471E+07   0.289216E+05
    17   0.868543E+03   0.302229E-02   0.109098E+01   0.524356E+07   0.280911E+05
    18   0.879794E+03   0.353853E-02   0.115352E+01   0.535165E+07   0.272888E+05
    19   0.892475E+03   0.421903E-02   0.121982E+01   0.544942E+07   0.265280E+05
    20   0.905421E+03   0.504510E-02   0.129021E+01   0.553722E+07   0.257909E+05
    21   0.918793E+03   0.600606E-02   0.136426E+01   0.561631E+07   0.250863E+05
    22   0.932542E+03   0.710268E-02   0.144052E+01   0.568774E+07   0.244120E+05
    23   0.946652E+03   0.833981E-02   0.151662E+01   0.575192E+07   0.237673E+05
    24   0.961143E+03   0.971564E-02   0.158934E+01   0.580892E+07   0.231524E+05
    25   0.975971E+03   0.112284E-01   0.165690E+01   0.585999E+07   0.225579E+05
    26   0.991107E+03   0.128813E-01   0.171805E+01   0.590539E+07   0.219764E+05
    27   0.100655E+04   0.146882E-01   0.177140E+01   0.594530E+07   0.214126E+05
    28   0.102220E+04   0.166668E-01   0.181637E+01   0.598044E+07   0.208729E+05
    29   0.103824E+04   0.188311E-01   0.185344E+01   0.601085E+07   0.203574E+05
