#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.101725E+04   0.262402E+01   0.298737E-02   0.262402E+01   0.308575E-01  -0.122183E-04   0.298737E-02  -0.122183E-04   0.501744E-07
     3   0.963657E+03   0.293905E+01   0.298430E-02   0.293905E+01   0.396279E-01  -0.131118E-04   0.298430E-02  -0.131118E-04   0.609354E-07
     4   0.912709E+03   0.275720E+01   0.291166E-02   0.275720E+01   0.344390E-01  -0.111076E-04   0.291166E-02  -0.111076E-04   0.701880E-07
     5   0.874639E+03   0.234881E+01   0.281188E-02   0.234881E+01   0.230509E-01  -0.757189E-05   0.281188E-02  -0.757189E-05   0.782178E-07
     6   0.848615E+03   0.189287E+01   0.270315E-02   0.189287E+01   0.129190E-01  -0.368662E-05   0.270315E-02  -0.368662E-05   0.852172E-07
     7   0.832083E+03   0.148736E+01   0.259403E-02   0.148736E+01   0.697272E-02  -0.362636E-06   0.259403E-02  -0.362636E-06   0.913732E-07
     8   0.822263E+03   0.117464E+01   0.248882E-02   0.117464E+01   0.447551E-02   0.185397E-05   0.248882E-02   0.185397E-05   0.968198E-07
     9   0.817706E+03   0.964039E+00   0.238949E-02   0.964039E+00   0.357984E-02   0.279513E-05   0.238949E-02   0.279513E-05   0.101668E-06
    10   0.817096E+03   0.846585E+00   0.229653E-02   0.846585E+00   0.305166E-02   0.261723E-05   0.229653E-02   0.261723E-05   0.105984E-06
    11   0.819339E+03   0.802989E+00   0.221071E-02   0.802989E+00   0.256671E-02   0.169494E-05   0.221071E-02   0.169494E-05   0.109861E-06
    12   0.824283E+03   0.811407E+00   0.212956E-02   0.811407E+00   0.223507E-02   0.483351E-06   0.212956E-02   0.483351E-06   0.113306E-06
    13   0.830754E+03   0.850874E+00   0.205461E-02   0.850874E+00   0.214023E-02  -0.612024E-06   0.205461E-02  -0.612024E-06   0.116420E-06
    14   0.838579E+03   0.905754E+00   0.198293E-02   0.905754E+00   0.222610E-02  -0.132576E-05   0.198293E-02  -0.132576E-05   0.119194E-06
    15   0.847463E+03   0.966388E+00   0.191512E-02   0.966388E+00   0.240551E-02  -0.156505E-05   0.191512E-02  -0.156505E-05   0.121701E-06
    16   0.857641E+03   0.102878E+01   0.184965E-02   0.102878E+01   0.265784E-02  -0.138914E-05   0.184965E-02  -0.138914E-05   0.123952E-06
    17   0.868543E+03   0.109098E+01   0.178722E-02   0.109098E+01   0.302229E-02  -0.960070E-06   0.178722E-02  -0.960070E-06   0.125951E-06
    18   0.879794E+03   0.115352E+01   0.172814E-02   0.115352E+01   0.353853E-02  -0.478951E-06   0.172814E-02  -0.478951E-06   0.127755E-06
    19   0.892475E+03   0.121982E+01   0.167299E-02   0.121982E+01   0.421903E-02  -0.120154E-06   0.167299E-02  -0.120154E-06   0.129369E-06
    20   0.905421E+03   0.129021E+01   0.162041E-02   0.129021E+01   0.504510E-02   0.189557E-07   0.162041E-02   0.189557E-07   0.130797E-06
    21   0.918793E+03   0.136426E+01   0.157078E-02   0.136426E+01   0.600606E-02  -0.697344E-07   0.157078E-02  -0.697344E-07   0.132064E-06
    22   0.932542E+03   0.144052E+01   0.152382E-02   0.144052E+01   0.710268E-02  -0.325360E-06   0.152382E-02  -0.325360E-06   0.133192E-06
    23   0.946652E+03   0.151662E+01   0.147937E-02   0.151662E+01   0.833981E-02  -0.651751E-06   0.147937E-02  -0.651751E-06   0.134186E-06
    24   0.961143E+03   0.158934E+01   0.143735E-02   0.158934E+01   0.971564E-02  -0.946964E-06   0.143735E-02  -0.946964E-06   0.135046E-06
    25   0.975971E+03   0.165690E+01   0.139709E-02   0.165690E+01   0.112284E-01  -0.113028E-05   0.139709E-02  -0.113028E-05   0.135797E-06
    26   0.991107E+03   0.171805E+01   0.135805E-02   0.171805E+01   0.128813E-01  -0.116582E-05   0.135805E-02  -0.116582E-05   0.136445E-06
    27   0.100655E+04   0.177140E+01   0.132049E-02   0.177140E+01   0.146882E-01  -0.107388E-05   0.132049E-02  -0.107388E-05   0.136990E-06
    28   0.102220E+04   0.181637E+01   0.128474E-02   0.181637E+01   0.166668E-01  -0.914956E-06   0.128474E-02  -0.914956E-06   0.137449E-06
    29   0.103824E+04   0.185344E+01   0.125078E-02   0.185344E+01   0.188311E-01  -0.756922E-06   0.125078E-02  -0.756922E-06   0.137819E-06
    30   0.105447E+04   0.188441E+01   0.121803E-02   0.188441E+01   0.211922E-01  -0.650228E-06   0.121803E-02  -0.650228E-06   0.138116E-06
    31   0.107087E+04   0.190953E+01   0.118653E-02   0.190953E+01   0.237588E-01  -0.622212E-06   0.118653E-02  -0.622212E-06   0.138333E-06
    32   0.108755E+04   0.192872E+01   0.115660E-02   0.192872E+01   0.265364E-01  -0.679330E-06   0.115660E-02  -0.679330E-06   0.138488E-06
    33   0.110445E+04   0.194051E+01   0.112835E-02   0.194051E+01   0.295288E-01  -0.804469E-06   0.112835E-02  -0.804469E-06   0.138581E-06
    34   0.112156E+04   0.194568E+01   0.110116E-02   0.194568E+01   0.327370E-01  -0.956230E-06   0.110116E-02  -0.956230E-06   0.138615E-06
    35   0.113885E+04   0.194246E+01   0.107483E-02   0.194246E+01   0.361671E-01  -0.108389E-05   0.107483E-02  -0.108389E-05   0.138592E-06
    36   0.115629E+04   0.192919E+01   0.104936E-02   0.192919E+01   0.398254E-01  -0.115226E-05   0.104936E-02  -0.115226E-05   0.138522E-06
    37   0.117400E+04   0.190484E+01   0.102491E-02   0.190484E+01   0.437179E-01  -0.115662E-05   0.102491E-02  -0.115662E-05   0.138405E-06
    38   0.119191E+04   0.186971E+01   0.100132E-02   0.186971E+01   0.478544E-01  -0.111624E-05   0.100132E-02  -0.111624E-05   0.138244E-06
    39   0.121000E+04   0.182366E+01   0.978535E-03   0.182366E+01   0.522382E-01  -0.105296E-05   0.978535E-03  -0.105296E-05   0.138041E-06
    40   0.122819E+04   0.176625E+01   0.956571E-03   0.176625E+01   0.568762E-01  -0.988078E-06   0.956571E-03  -0.988078E-06   0.137800E-06
    41   0.124670E+04   0.169721E+01   0.935428E-03   0.169721E+01   0.617793E-01  -0.942344E-06   0.935428E-03  -0.942344E-06   0.137525E-06
    42   0.126531E+04   0.161776E+01   0.915087E-03   0.161776E+01   0.669526E-01  -0.934265E-06   0.915087E-03  -0.934265E-06   0.137218E-06
    43   0.128413E+04   0.152870E+01   0.895526E-03   0.152870E+01   0.724012E-01  -0.974695E-06   0.895526E-03  -0.974695E-06   0.136879E-06
    44   0.130296E+04   0.142861E+01   0.876731E-03   0.142861E+01   0.781219E-01  -0.104611E-05   0.876731E-03  -0.104611E-05   0.136511E-06
    45   0.132213E+04   0.131634E+01   0.858657E-03   0.131634E+01   0.841242E-01  -0.112435E-05   0.858657E-03  -0.112435E-05   0.136116E-06
    46   0.134152E+04   0.119242E+01   0.841114E-03   0.119242E+01   0.904156E-01  -0.118707E-05   0.841114E-03  -0.118707E-05   0.135697E-06
    47   0.136099E+04   0.105745E+01   0.823953E-03   0.105745E+01   0.969815E-01  -0.121788E-05   0.823953E-03  -0.121788E-05   0.135255E-06
    48   0.138056E+04   0.909431E+00   0.807335E-03   0.909431E+00   0.103831E+00  -0.122232E-05   0.807335E-03  -0.122232E-05   0.134792E-06
    49   0.140040E+04   0.746814E+00   0.791413E-03   0.746814E+00   0.110963E+00  -0.121020E-05   0.791413E-03  -0.121020E-05   0.134307E-06
    50   0.142054E+04   0.570710E+00   0.775992E-03   0.570710E+00   0.118399E+00  -0.118630E-05   0.775992E-03  -0.118630E-05   0.133805E-06
    51   0.144063E+04   0.382555E+00   0.760879E-03   0.382555E+00   0.126132E+00  -0.115637E-05   0.760879E-03  -0.115637E-05   0.133286E-06
    52   0.146110E+04   0.181269E+00   0.746233E-03   0.181269E+00   0.134142E+00  -0.113510E-05   0.746233E-03  -0.113510E-05   0.132752E-06
    53   0.148183E+04  -0.343169E-01   0.732228E-03  -0.343169E-01   0.142463E+00  -0.113628E-05   0.732228E-03  -0.113628E-05   0.132203E-06
    54   0.150259E+04  -0.262646E+00   0.718751E-03  -0.262646E+00   0.151068E+00  -0.116116E-05   0.718751E-03  -0.116116E-05   0.131639E-06
    55   0.152344E+04  -0.502318E+00   0.705649E-03  -0.502318E+00   0.159969E+00  -0.120474E-05   0.705649E-03  -0.120474E-05   0.131063E-06
    56   0.154460E+04  -0.754925E+00   0.692910E-03  -0.754925E+00   0.169168E+00  -0.124928E-05   0.692910E-03  -0.124928E-05   0.130475E-06
    57   0.156603E+04  -0.102214E+01   0.680543E-03  -0.102214E+01   0.178656E+00  -0.127841E-05   0.680543E-03  -0.127841E-05   0.129877E-06
    58   0.158770E+04  -0.130285E+01   0.668510E-03  -0.130285E+01   0.188437E+00  -0.129365E-05   0.668510E-03  -0.129365E-05   0.129270E-06
    59   0.160942E+04  -0.159574E+01   0.656773E-03  -0.159574E+01   0.198510E+00  -0.129992E-05   0.656773E-03  -0.129992E-05   0.128654E-06
    60   0.163125E+04  -0.190168E+01   0.645333E-03  -0.190168E+01   0.208852E+00  -0.129774E-05   0.645333E-03  -0.129774E-05   0.128029E-06
    61   0.165357E+04  -0.222164E+01   0.634202E-03  -0.222164E+01   0.219488E+00  -0.128772E-05   0.634202E-03  -0.128772E-05   0.127396E-06
    62   0.167580E+04  -0.255565E+01   0.623387E-03  -0.255565E+01   0.230404E+00  -0.127509E-05   0.623387E-03  -0.127509E-05   0.126757E-06
    63   0.169818E+04  -0.290311E+01   0.612890E-03  -0.290311E+01   0.241576E+00  -0.126628E-05   0.612890E-03  -0.126628E-05   0.126112E-06
    64   0.172103E+04  -0.326369E+01   0.602717E-03  -0.326369E+01   0.253031E+00  -0.126770E-05   0.602717E-03  -0.126770E-05   0.125461E-06
    65   0.174397E+04  -0.363709E+01   0.592865E-03  -0.363709E+01   0.264764E+00  -0.128348E-05   0.592865E-03  -0.128348E-05   0.124806E-06
    66   0.176726E+04  -0.402324E+01   0.583310E-03  -0.402324E+01   0.276741E+00  -0.130864E-05   0.583310E-03  -0.130864E-05   0.124147E-06
    67   0.179068E+04  -0.442168E+01   0.574019E-03  -0.442168E+01   0.288961E+00  -0.133593E-05   0.574019E-03  -0.133593E-05   0.123483E-06
    68   0.181446E+04  -0.483299E+01   0.564961E-03  -0.483299E+01   0.301455E+00  -0.135806E-05   0.564961E-03  -0.135806E-05   0.122816E-06
    69   0.183836E+04  -0.525687E+01   0.556111E-03  -0.525687E+01   0.314169E+00  -0.136956E-05   0.556111E-03  -0.136956E-05   0.122146E-06
    70   0.186254E+04  -0.569315E+01   0.547464E-03  -0.569315E+01   0.327127E+00  -0.137203E-05   0.547464E-03  -0.137203E-05   0.121474E-06
