# This list of sources to mask was generated from TCs list at
# spt3g_software/sources/spt3g_1500d_source_list_tc_05mar19.txt.
# It includes sources with a flux >= 50mJy at 150 GHz.
# The 150 GHz flux is the one recorded here.
# I removed all sources with "bad_flag" set to 1.
# -Daniel Dutcher, 11 Aug 2019
#
#
# Index	RA	DEC	Radius	Flux
#
# 	(deg)	(deg)	(deg)	(mJy)
1 	1.02400 	-43.76100 	0.0833  	58.6140
2 	1.14500 	-47.61100 	0.0833  	193.2700
3 	1.84100 	-61.21800 	0.0833  	50.3820
4 	2.00100 	-52.73100 	0.0833  	170.0550
5 	2.28700 	-46.22600 	0.0833  	65.5040
6 	3.34300 	-50.09200 	0.0833  	111.4990
7 	4.63200 	-42.04300 	0.0833  	167.0420
8 	4.67300 	-45.96900 	0.0833  	108.2880
9 	4.86100 	-56.69800 	0.0833  	161.0540
10 	5.75800 	-56.83700 	0.0833  	56.0010
11 	5.93200 	-59.51000 	0.0833  	80.0880
12 	6.03700 	-68.34300 	0.0833  	307.3600
13 	6.43600 	-48.07000 	0.0833  	127.8380
14 	7.56700 	-42.42200 	0.0833  	391.4080
15 	11.56200 	-42.13600 	0.0833  	71.6880
16 	12.31400 	-44.96000 	0.0833  	123.0210
17 	12.42000 	-70.86300 	0.0833  	167.2100
18 	12.50000 	-57.64300 	0.0833  	462.6650
19 	12.78300 	-42.45100 	0.0833  	285.7640
20 	13.95700 	-61.60800 	0.0833  	54.1060
21 	14.18600 	-44.85800 	0.0833  	52.1130
22 	14.33100 	-70.67200 	0.0833  	67.6840
23 	14.69500 	-56.98900 	0.0833  	702.6710
24 	15.31900 	-62.54900 	0.0833  	116.3080
25 	15.54400 	-56.62000 	0.0833  	116.2890
26 	15.89300 	-64.65000 	0.0833  	340.1210
27 	16.03200 	-56.95700 	0.0833  	55.7640
28 	17.31800 	-60.83000 	0.0833  	90.0900
29 	17.57600 	-63.26400 	0.0833  	71.7780
30 	18.08400 	-66.57500 	0.0833  	281.9840
31 	18.30400 	-67.88000 	0.0833  	54.8160
32 	19.23900 	-65.36300 	0.0833  	52.3660
33 	19.61300 	-51.26100 	0.0833  	57.9280
34 	19.95300 	-53.95800 	0.0833  	52.0680
35 	20.94800 	-46.39500 	0.0833  	55.7020
36 	21.23300 	-51.22500 	0.0833  	82.9410
37 	21.59400 	-51.05800 	0.0833  	50.6510
38 	21.80800 	-48.23100 	0.0833  	341.2870
