# This list of sources to mask was generated from TCs list at
# spt3g_software/sources/spt3g_1500d_source_list_tc_05mar19.txt.
# It includes sources with a flux >= 50mJy in any band.
# The largest flux across the bands is the one recorded here.
# I removed all sources with "bad_flag" set to 1.
# -Daniel Dutcher, 15 May 2019
#
#
# Index	RA	DEC	Radius	Flux
#
# 	(deg)	(deg)	(deg)	(mJy)
1 	1.02400 	-43.76100 	0.0833  	82.5580
2 	1.14500 	-47.61100 	0.0833  	225.2080
3 	1.57800 	-41.50600 	0.0833  	56.1010
4 	1.84100 	-61.21800 	0.0833  	58.4320
5 	2.00100 	-52.73100 	0.0833  	189.9200
6 	2.28700 	-46.22600 	0.0833  	78.3900
7 	2.96200 	-41.10400 	0.0833  	50.6180
8 	3.34300 	-50.09200 	0.0833  	124.8380
9 	4.63200 	-42.04300 	0.0833  	182.1780
10 	4.67300 	-45.96900 	0.0833  	112.7280
11 	4.86100 	-56.69800 	0.0833  	177.4160
12 	5.38000 	-48.63100 	0.0833  	54.4370
13 	5.75800 	-56.83700 	0.0833  	63.2750
14 	5.93200 	-59.51000 	0.0833  	80.0880
15 	6.03700 	-68.34300 	0.0833  	308.8530
16 	6.43600 	-48.07000 	0.0833  	148.3110
17 	7.56700 	-42.42200 	0.0833  	450.9620
18 	8.01600 	-64.25300 	0.0833  	55.8290
19 	8.44500 	-42.61300 	0.0833  	53.3510
20 	8.51200 	-41.28100 	0.0833  	53.4740
21 	10.03500 	-59.06500 	0.0833  	51.8440
22 	10.59800 	-43.56900 	0.0833  	55.1190
23 	11.56200 	-42.13600 	0.0833  	108.1980
24 	12.26700 	-55.35500 	0.0833  	56.4680
25 	12.31400 	-44.96000 	0.0833  	126.8140
26 	12.42000 	-70.86300 	0.0833  	174.7030
27 	12.50000 	-57.64300 	0.0833  	571.3780
28 	12.78300 	-42.45100 	0.0833  	341.8050
29 	13.95700 	-61.60800 	0.0833  	54.1060
30 	14.18600 	-44.85800 	0.0833  	58.4340
31 	14.33100 	-70.67200 	0.0833  	69.8750
32 	14.69500 	-56.98900 	0.0833  	785.5280
33 	14.72700 	-52.32700 	0.0833  	52.3110
34 	15.31900 	-62.54900 	0.0833  	133.9440
35 	15.54400 	-56.62000 	0.0833  	139.7300
36 	15.89300 	-64.65000 	0.0833  	372.7540
37 	16.03200 	-56.95700 	0.0833  	61.4510
38 	17.31800 	-60.83000 	0.0833  	106.0540
39 	17.57600 	-63.26400 	0.0833  	87.6620
40 	18.08400 	-66.57500 	0.0833  	314.7130
41 	18.30400 	-67.88000 	0.0833  	60.0920
42 	19.23900 	-65.36300 	0.0833  	56.2890
43 	19.61300 	-51.26100 	0.0833  	57.9280
44 	19.95300 	-53.95800 	0.0833  	62.6690
45 	20.94800 	-46.39500 	0.0833  	69.0170
46 	21.23300 	-51.22500 	0.0833  	89.3970
47 	21.59400 	-51.05800 	0.0833  	63.2630
48 	21.80800 	-48.23100 	0.0833  	346.5690
49 	22.08500 	-56.83000 	0.0833  	78.6350
50 	23.24900 	-44.52100 	0.0833  	54.3560
51 	23.26700 	-52.00500 	0.0833  	1026.6650
52 	23.92800 	-42.29000 	0.0833  	54.0820
53 	25.60800 	-57.50100 	0.0833  	81.5650
54 	26.07200 	-64.36000 	0.0833  	136.3520
55 	26.69400 	-52.04700 	0.0833  	94.8480
56 	28.57400 	-51.13500 	0.0833  	80.6480
57 	28.63500 	-66.06800 	0.0833  	124.6710
58 	28.95300 	-62.84500 	0.0833  	63.7030
59 	29.28600 	-46.01800 	0.0833  	54.3240
60 	29.45800 	-46.24600 	0.0833  	55.6290
61 	29.61000 	-58.18400 	0.0833  	66.8390
62 	30.28800 	-66.63300 	0.0833  	193.8800
63 	31.67200 	-61.72400 	0.0833  	112.1540
64 	31.97200 	-68.62700 	0.0833  	102.6970
65 	32.68500 	-51.02200 	0.0833  	3819.5630
66 	33.53000 	-70.44500 	0.0833  	98.3930
67 	33.54500 	-58.37000 	0.0833  	65.7190
68 	33.57200 	-61.82400 	0.0833  	194.2870
69 	33.80400 	-65.33600 	0.0833  	51.3420
70 	34.18200 	-47.82500 	0.0833  	51.6150
71 	34.93000 	-68.10000 	0.0833  	53.6870
72 	35.23200 	-63.50300 	0.0833  	194.6080
73 	35.46600 	-56.79400 	0.0833  	50.2950
74 	35.87300 	-53.79700 	0.0833  	115.7790
75 	36.08100 	-70.71600 	0.0833  	55.2040
76 	36.42600 	-45.06100 	0.0833  	199.5890
77 	37.08500 	-55.76900 	0.0833  	495.4510
78 	37.29600 	-54.05900 	0.0833  	76.7640
79 	37.34900 	-52.54400 	0.0833  	54.5770
80 	37.79000 	-57.92000 	0.0833  	66.0190
81 	37.79500 	-47.77500 	0.0833  	285.9360
82 	37.82500 	-58.68700 	0.0833  	50.4460
83 	38.80500 	-47.16400 	0.0833  	113.8380
84 	39.22700 	-61.60300 	0.0833  	199.3460
85 	41.47000 	-45.00100 	0.0833  	251.9000
86 	41.49600 	-46.86000 	0.0833  	715.3290
87 	41.55500 	-49.90300 	0.0833  	92.9140
88 	41.80200 	-63.42500 	0.0833  	66.3840
89 	42.86200 	-60.00200 	0.0833  	241.2470
90 	43.36500 	-54.70000 	0.0833  	829.6230
91 	44.40600 	-61.20800 	0.0833  	89.6450
92 	44.65400 	-50.87300 	0.0833  	105.9350
93 	44.70000 	-53.54000 	0.0833  	72.3840
94 	45.86100 	-52.58100 	0.0833  	53.9860
95 	45.96300 	-64.98000 	0.0833  	132.0550
96 	45.96600 	-62.18900 	0.0833  	832.7170
97 	47.48800 	-60.97700 	0.0833  	869.8430
98 	47.54500 	-57.51400 	0.0833  	96.7840
99 	48.02400 	-55.69500 	0.0833  	59.5610
100 	48.59800 	-65.80300 	0.0833  	212.3650
101 	48.60100 	-51.08000 	0.0833  	67.5190
102 	49.48500 	-44.24600 	0.0833  	77.4490
103 	49.61800 	-66.47700 	0.0833  	55.3380
104 	49.74100 	-56.84600 	0.0833  	67.3500
105 	50.78900 	-60.44100 	0.0833  	67.0900
106 	51.01900 	-55.34900 	0.0833  	60.4840
107 	306.86800 	-70.11500 	0.0833  	269.0550
108 	308.84300 	-49.97300 	0.0833  	50.8200
109 	308.96500 	-68.77000 	0.0833  	339.1080
110 	309.27500 	-42.40600 	0.0833  	50.4730
111 	310.00600 	-57.58900 	0.0833  	112.5730
112 	310.82300 	-62.93300 	0.0833  	83.0660
113 	312.10900 	-68.07600 	0.0833  	50.2820
114 	312.79800 	-45.44600 	0.0833  	79.7940
115 	313.01900 	-69.19300 	0.0833  	51.7990
116 	313.03100 	-65.38400 	0.0833  	69.5000
117 	313.05300 	-55.55500 	0.0833  	64.7120
118 	313.27900 	-62.92900 	0.0833  	83.5080
119 	313.70400 	-54.66100 	0.0833  	68.3660
120 	314.06400 	-47.25300 	0.0833  	1374.5760
121 	314.12900 	-58.33800 	0.0833  	131.1300
122 	314.40800 	-57.01100 	0.0833  	76.5790
123 	315.29200 	-44.86000 	0.0833  	54.3830
124 	315.91500 	-62.54000 	0.0833  	56.9150
125 	316.02100 	-51.95300 	0.0833  	53.1570
126 	316.24900 	-48.81900 	0.0833  	159.0600
127 	316.75400 	-65.79200 	0.0833  	86.2500
128 	317.20600 	-48.77700 	0.0833  	73.4850
129 	317.22200 	-66.61900 	0.0833  	141.8520
130 	317.38200 	-41.18100 	0.0833  	115.4680
131 	318.45200 	-59.30200 	0.0833  	61.7660
132 	319.90100 	-45.76000 	0.0833  	137.3050
133 	320.27100 	-61.19000 	0.0833  	165.5700
134 	321.11400 	-49.80600 	0.0833  	65.6630
135 	321.62300 	-46.10300 	0.0833  	193.0390
136 	321.84600 	-60.01400 	0.0833  	51.8830
137 	322.71200 	-45.26900 	0.0833  	53.8550
138 	323.55900 	-65.22400 	0.0833  	137.6950
139 	323.82600 	-50.11900 	0.0833  	78.5920
140 	323.94000 	-63.90300 	0.0833  	68.1980
141 	324.11600 	-54.56000 	0.0833  	85.8260
142 	324.84500 	-42.59700 	0.0833  	80.3690
143 	325.44600 	-64.18500 	0.0833  	388.2180
144 	326.21100 	-69.77500 	0.0833  	58.3370
145 	326.93200 	-55.44200 	0.0833  	55.6820
146 	327.56400 	-68.04200 	0.0833  	98.3190
147 	329.28900 	-69.68300 	0.0833  	1114.5240
148 	329.97300 	-62.09000 	0.0833  	59.3160
149 	329.99200 	-47.87200 	0.0833  	56.8530
150 	330.01500 	-54.93000 	0.0833  	72.9820
151 	330.22300 	-55.33700 	0.0833  	150.1660
152 	330.54100 	-49.42800 	0.0833  	51.6090
153 	330.74900 	-49.62300 	0.0833  	55.8310
154 	331.00300 	-61.50500 	0.0833  	246.6360
155 	331.92600 	-53.77800 	0.0833  	610.8180
156 	332.08700 	-64.07000 	0.0833  	86.6960
157 	332.14800 	-57.44600 	0.0833  	90.7970
158 	332.20300 	-63.42800 	0.0833  	111.1240
159 	332.31400 	-47.17200 	0.0833  	108.5440
160 	332.66200 	-50.45200 	0.0833  	72.4850
161 	332.89100 	-48.85300 	0.0833  	152.3880
162 	333.40000 	-63.49800 	0.0833  	78.0260
163 	333.73500 	-66.85100 	0.0833  	58.0560
164 	334.46100 	-70.74100 	0.0833  	176.5600
165 	335.67600 	-45.95500 	0.0833  	53.9040
166 	337.26200 	-69.16900 	0.0833  	445.3310
167 	337.72900 	-44.28300 	0.0833  	256.6390
168 	337.78800 	-62.52100 	0.0833  	107.7230
169 	338.58900 	-54.09900 	0.0833  	56.5850
170 	338.80000 	-48.60500 	0.0833  	748.4690
171 	339.80200 	-57.01900 	0.0833  	263.1450
172 	340.66200 	-46.89200 	0.0833  	54.0230
173 	340.78900 	-62.84800 	0.0833  	126.7970
174 	341.56700 	-56.13200 	0.0833  	181.2540
175 	342.00100 	-48.90700 	0.0833  	55.1330
176 	343.64700 	-41.67100 	0.0833  	108.1430
177 	343.73900 	-59.43400 	0.0833  	118.6170
178 	344.64600 	-70.23700 	0.0833  	104.0730
179 	345.66100 	-45.57300 	0.0833  	82.8070
180 	345.93900 	-68.12200 	0.0833  	158.7290
181 	345.96000 	-54.11500 	0.0833  	92.8760
182 	347.21600 	-45.97200 	0.0833  	169.7850
183 	347.25300 	-50.85500 	0.0833  	78.5890
184 	348.53400 	-44.93700 	0.0833  	125.4780
185 	348.92700 	-50.31600 	0.0833  	280.0810
186 	349.03900 	-42.59500 	0.0833  	134.8610
187 	349.08200 	-43.63800 	0.0833  	86.4430
188 	349.32200 	-62.25700 	0.0833  	65.1200
189 	349.59100 	-42.38000 	0.0833  	121.4480
190 	349.62800 	-48.31900 	0.0833  	98.3500
191 	349.65700 	-67.89700 	0.0833  	205.9640
192 	349.72100 	-42.24900 	0.0833  	57.6600
193 	349.77100 	-42.12100 	0.0833  	69.3170
194 	349.83500 	-42.26700 	0.0833  	73.2270
195 	350.24400 	-54.04600 	0.0833  	57.3250
196 	350.42800 	-64.63300 	0.0833  	72.2660
197 	351.35800 	-48.01100 	0.0833  	105.1860
198 	351.66000 	-61.10200 	0.0833  	72.1660
199 	351.91600 	-45.18900 	0.0833  	59.6110
200 	351.94400 	-66.74100 	0.0833  	93.6310
201 	352.31900 	-47.51100 	0.0833  	1408.0890
202 	352.32900 	-49.93300 	0.0833  	346.1450
203 	352.65200 	-45.67300 	0.0833  	95.7200
204 	353.07300 	-41.32000 	0.0833  	231.1680
205 	353.68000 	-52.85800 	0.0833  	119.5410
206 	354.04300 	-52.60900 	0.0833  	313.5720
207 	354.11800 	-48.12900 	0.0833  	82.2450
208 	354.13500 	-41.26500 	0.0833  	372.2380
209 	354.36400 	-59.02200 	0.0833  	68.8690
210 	354.90200 	-66.94800 	0.0833  	52.0390
211 	355.82300 	-57.16400 	0.0833  	96.6560
212 	355.86400 	-56.44200 	0.0833  	84.7400
213 	356.82600 	-51.18100 	0.0833  	179.6440
214 	356.92400 	-49.77900 	0.0833  	233.9370
215 	357.11300 	-60.82200 	0.0833  	171.5480
216 	357.34800 	-49.54600 	0.0833  	481.6510
217 	357.89000 	-43.00100 	0.0833  	71.0560
218 	358.29200 	-48.10600 	0.0833  	110.9190
