# README: 
# 
# This list was generated by hand by Tom C. on 5Mar19. The input map was
# Daniel D's 2018 coadd lpf9000_tonly_0.5res.g3. The maps were
# isotropically high-pass filtered (with a filter that would have been
# optimal for a map with CMB, white noise, and Gaussian beams). All
# sources are shown that were detected in any band at at least 10
# sigma. This threshold is roughly 10, 10, and 40 mJy at 90, 150, 220
# GHz. The flux measurements are only accurate to ~10% because we don't
# have proper beam measurements yet.
# 
# All detections are listed here, regardless of robustness. I (TC)
# have visually inspected all detections, and any source that appears to
# be spurious (almost always a filtering wing from a brighter sources)
# has been given the "bad flag" value of 1.
# 
# Sources outside the uniform-coverage region have had their
# signal-to-noise and flux measurements rolled off by the apodization
# mask, so sources near the edges of the map should not be used for
# any flux comparisons to other lists or catalogs.
# 
# This file is not in the format expected by the mask constructor in 3g
# mapmaking. It is intended to be used as a resource to build such
# lists.
# 
# The source finding and flagging was done in IDL on spt.uchicago.edu,
# and the IDL code used is in the tar file in this directory
# initial_source_finding_in_idl_docs.tar.gz.


# RA [deg]  dec [deg]  SN90  S90 [mJy]  SN150  S150 [mJy]  SN220  S220 [mJy]  bad_flag
   0.237   -45.974    18.351    20.978    16.304    20.230       NaN       NaN         0
   0.686   -48.271    11.417    13.051       NaN       NaN       NaN       NaN         0
   0.722   -56.356    11.365    12.992       NaN       NaN       NaN       NaN         0
   0.723   -59.804    42.802    48.929    33.940    42.113       NaN       NaN         0
   0.764   -55.503    20.170    23.057    13.901    17.248       NaN       NaN         0
   0.767   -52.967    10.215    11.677       NaN       NaN       NaN       NaN         0
   0.787   -54.751    36.715    41.970    24.964    30.975       NaN       NaN         0
   0.811   -59.098    11.283    12.898    10.058    12.480       NaN       NaN         0
   0.840   -57.960    10.022    11.457       NaN       NaN       NaN       NaN         0
   0.984   -53.732    22.714    25.965    15.963    19.806       NaN       NaN         0
   1.006   -47.645    14.538    16.619       NaN       NaN       NaN       NaN         1
   1.007   -47.573    13.000    14.860    10.053    12.473       NaN       NaN         1
   1.024   -43.761    72.220    82.558    47.239    58.614    11.082    46.109         0
   1.051   -52.919    23.140    26.452    17.117    21.239       NaN       NaN         0
   1.079   -55.784    16.873    19.288    10.717    13.297       NaN       NaN         0
   1.122   -41.961    23.190    26.510    17.275    21.435       NaN       NaN         0
   1.145   -47.611   197.008   225.208   155.762   193.270    37.002   153.955         0
   1.191   -48.419    10.854    12.408       NaN       NaN       NaN       NaN         0
   1.207   -66.252    13.809    15.786       NaN       NaN       NaN       NaN         0
   1.286   -47.647    13.256    15.154       NaN       NaN       NaN       NaN         1
   1.288   -47.577    12.250    14.004       NaN       NaN       NaN       NaN         1
   1.353   -55.705    10.331    11.809       NaN       NaN       NaN       NaN         0
   1.369   -62.383    12.713    14.533       NaN       NaN       NaN       NaN         0
   1.489   -56.478    37.117    42.430    25.800    32.012       NaN       NaN         0
   1.504   -42.588    11.947    13.657       NaN       NaN       NaN       NaN         0
   1.519   -60.596    10.415    11.906       NaN       NaN       NaN       NaN         0
   1.557   -56.348    10.087    11.531    11.579    14.367       NaN       NaN         0
   1.574   -42.765    33.681    38.502    22.595    28.035       NaN       NaN         0
   1.578   -41.506       NaN       NaN    14.146    19.448    12.169    56.101         0
   1.695   -46.364    10.511    12.016       NaN       NaN       NaN       NaN         0
   1.811   -51.392    11.392    13.023       NaN       NaN       NaN       NaN         0
   1.841   -61.218    51.115    58.432    40.604    50.382       NaN       NaN         0
   1.845   -52.693    10.627    12.148       NaN       NaN       NaN       NaN         1
   1.851   -52.763    10.293    11.766       NaN       NaN       NaN       NaN         1
   1.924   -45.825    29.696    33.947    20.288    25.173       NaN       NaN         0
   2.001   -52.731   166.139   189.920   137.053   170.055    36.512   151.916         0
   2.148   -50.165    14.884    17.014    11.569    14.355       NaN       NaN         0
   2.153   -52.692    11.697    13.371       NaN       NaN       NaN       NaN         1
   2.153   -46.335    24.804    28.354    15.216    18.880       NaN       NaN         0
   2.154   -52.770    11.914    13.619       NaN       NaN       NaN       NaN         1
   2.287   -46.226    68.575    78.390    52.792    65.504    12.836    53.407         0
   2.294   -54.970    11.833    13.527    11.103    13.776       NaN       NaN         0
   2.334   -51.506    19.907    22.757    13.133    16.295       NaN       NaN         0
   2.412   -63.957    32.671    37.348    28.597    35.484       NaN       NaN         0
   2.488   -57.021    10.363    11.846       NaN       NaN       NaN       NaN         0
   2.529   -68.851    11.397    13.028       NaN       NaN       NaN       NaN         0
   2.601   -41.509    12.576    15.908    11.777    16.171       NaN       NaN         0
   2.788   -50.197    33.902    38.755    25.662    31.841       NaN       NaN         0
   2.844   -64.152    12.847    14.686       NaN       NaN       NaN       NaN         0
   2.962   -41.104    25.773    50.618    19.583    41.747       NaN       NaN         0
   3.343   -50.092   109.206   124.838    89.861   111.499    22.185    92.305         0
   3.609   -56.642    22.259    25.445    15.779    19.579       NaN       NaN         0
   3.682   -51.377    11.291    12.907       NaN       NaN       NaN       NaN         0
   3.727   -64.468    13.446    15.371       NaN       NaN       NaN       NaN         0
   3.925   -61.951    11.269    12.882       NaN       NaN       NaN       NaN         0
   3.966   -45.190    18.780    21.468    13.641    16.926       NaN       NaN         0
   4.013   -63.169    10.231    11.696       NaN       NaN       NaN       NaN         0
   4.446   -69.560    10.903    12.463       NaN       NaN       NaN       NaN         0
   4.508   -42.081    11.497    13.143       NaN       NaN       NaN       NaN         1
   4.509   -42.009    11.396    13.027       NaN       NaN       NaN       NaN         1
   4.632   -42.043   159.367   182.178   134.624   167.042    36.716   152.763         0
   4.673   -45.969    98.613   112.728    87.273   108.288    21.274    88.515         0
   4.682   -56.666    10.266    11.735       NaN       NaN       NaN       NaN         1
   4.694   -56.735    10.990    12.563       NaN       NaN       NaN       NaN         1
   4.696   -51.253    34.645    39.604    25.029    31.056       NaN       NaN         0
   4.711   -49.503    19.274    22.033    16.104    19.982       NaN       NaN         0
   4.754   -42.004    10.046    11.484       NaN       NaN       NaN       NaN         1
   4.828   -62.986    15.423    17.630    11.269    13.983       NaN       NaN         0
   4.861   -56.698   155.201   177.416   129.798   161.054    30.637   127.472         0
   4.880   -42.449    21.687    24.791    15.917    19.750       NaN       NaN         0
   4.936   -49.371    12.521    14.313       NaN       NaN       NaN       NaN         0
   4.981   -62.880    10.393    11.880       NaN       NaN       NaN       NaN         0
   5.025   -56.655    10.495    11.998       NaN       NaN       NaN       NaN         1
   5.034   -56.735    10.357    11.840       NaN       NaN       NaN       NaN         1
   5.088   -48.790    21.516    24.596    14.591    18.105       NaN       NaN         0
   5.178   -56.557    22.888    26.164    19.076    23.670       NaN       NaN         0
   5.380   -48.631       NaN       NaN    13.103    16.258    13.084    54.437         0
   5.491   -51.676    15.023    17.174    12.668    15.718       NaN       NaN         0
   5.530   -53.879    12.806    14.639    12.374    15.353       NaN       NaN         0
   5.632   -51.891    33.081    37.816    24.297    30.148       NaN       NaN         0
   5.758   -56.837    55.352    63.275    45.133    56.001    10.365    43.125         0
   5.788   -65.112    12.341    14.108       NaN       NaN       NaN       NaN         0
   5.790   -68.382    19.369    22.141    14.380    17.843       NaN       NaN         1
   5.794   -63.076    13.947    15.943       NaN       NaN       NaN       NaN         0
   5.798   -68.300    17.974    20.547    12.828    15.916       NaN       NaN         1
   5.932   -59.510    66.056    75.511    64.545    80.088    16.607    69.095         0
   5.944   -68.434    10.213    11.675       NaN       NaN       NaN       NaN         1
   5.955   -58.204    11.977    13.692    11.584    14.374       NaN       NaN         0
   6.037   -68.343   270.180   308.853   247.711   307.360    56.876   236.642         0
   6.049   -68.443    10.232    11.697       NaN       NaN       NaN       NaN         1
   6.174   -42.042    14.769    16.883       NaN       NaN       NaN       NaN         0
   6.281   -68.300    18.315    20.937    15.585    19.338       NaN       NaN         1
   6.281   -68.384    18.012    20.590    13.927    17.280       NaN       NaN         0
   6.289   -54.464    24.736    28.277    23.452    29.099       NaN       NaN         0
   6.324   -60.475    14.881    17.011    10.093    12.524       NaN       NaN         0
   6.436   -48.070   129.740   148.311   103.029   127.838    25.041   104.186         0
   6.627   -47.684    14.132    16.154       NaN       NaN       NaN       NaN         0
   6.661   -49.320    12.362    14.132       NaN       NaN       NaN       NaN         0
   6.706   -51.704    10.660    12.186    10.890    13.512       NaN       NaN         0
   6.801   -49.850    10.594    12.111       NaN       NaN       NaN       NaN         0
   6.808   -45.346    13.847    15.829    11.588    14.378       NaN       NaN         0
   6.925   -66.059    16.102    18.407    12.905    16.012       NaN       NaN         0
   7.046   -44.264    31.872    36.434    25.768    31.972       NaN       NaN         0
   7.189   -70.749    31.613    36.138    28.420    35.263       NaN       NaN         0
   7.259   -67.925    20.812    23.791    16.730    20.759       NaN       NaN         0
   7.264   -51.947    11.933    13.641    11.124    13.803       NaN       NaN         0
   7.286   -42.385    11.212    12.817       NaN       NaN       NaN       NaN         1
   7.295   -56.592    20.791    23.767    17.150    21.280       NaN       NaN         0
   7.454   -42.461       NaN       NaN    18.459    22.903       NaN       NaN         1
   7.457   -42.381       NaN       NaN    18.663    23.157       NaN       NaN         1
   7.490   -51.961    13.243    15.139    10.342    12.833       NaN       NaN         0
   7.525   -42.511       NaN       NaN    11.343    14.074       NaN       NaN         1
   7.561   -42.480    26.294    30.058       NaN       NaN       NaN       NaN         1
   7.567   -42.422   394.494   450.962   315.448   391.408    75.996   316.196         0
   7.569   -42.362    25.658    29.330       NaN       NaN       NaN       NaN         1
   7.630   -42.498       NaN       NaN    10.008    12.418       NaN       NaN         1
   7.632   -54.631    20.480    23.412    10.595    13.147       NaN       NaN         0
   7.674   -42.378       NaN       NaN    18.967    23.535       NaN       NaN         1
   7.678   -42.461       NaN       NaN    17.264    21.421       NaN       NaN         1
   7.839   -42.462    10.774    12.316       NaN       NaN       NaN       NaN         1
   7.886   -51.726    41.555    47.503    37.724    46.808       NaN       NaN         0
   7.922   -70.547    13.695    15.655    11.014    13.666       NaN       NaN         0
   8.016   -64.253       NaN       NaN    11.719    14.540    13.418    55.829         0
   8.146   -42.102    11.454    13.094       NaN       NaN       NaN       NaN         0
   8.445   -42.613    46.671    53.351    38.737    48.064       NaN       NaN         0
   8.469   -56.947    30.917    35.343    27.672    34.336       NaN       NaN         0
   8.495   -65.435    10.018    11.451       NaN       NaN       NaN       NaN         0
   8.512   -41.281    34.796    53.474    27.350    45.623       NaN       NaN         0
   8.535   -70.424    20.503    23.438    12.198    15.135       NaN       NaN         0
   8.648   -53.119    10.055    11.495       NaN       NaN       NaN       NaN         0
   8.772   -57.439    18.491    21.138    18.082    22.436       NaN       NaN         0
   9.006   -69.006    19.229    21.981    15.652    19.421       NaN       NaN         0
   9.314   -48.140    26.284    30.046    16.194    20.094       NaN       NaN         0
   9.361   -59.302    22.137    25.306    16.007    19.862       NaN       NaN         0
   9.391   -53.129    31.188    35.653    23.581    29.259       NaN       NaN         0
   9.403   -47.551    12.148    13.887    10.456    12.973       NaN       NaN         0
   9.491   -65.931    12.008    13.727       NaN       NaN       NaN       NaN         0
