#Written by pole_map_weight_distributions_for_cuts_08jun19.py. 
#Maps created using configuration file 
#   /software/spt3g_software_onlinemaps/spt3g/std_processing/mapmakers/pole_autoproc_config.yaml,
# with code at git hash ed461fbecdab3740b6e8249866e08cdd03c76094.
#
# Field    Band [GHz]   ObsId    Weight*RMS^2 
ra0hdec-44.75    90   74877776    8.09164
ra0hdec-44.75    90   74886515    8.09159
ra0hdec-44.75    90   75013641    8.09513
ra0hdec-44.75    90   75022379    8.08828
ra0hdec-44.75    90   75031116    8.02953
ra0hdec-44.75    90   75157374    8.02887
ra0hdec-44.75    90   75166111    8.04672
ra0hdec-44.75    90   75174933    8.10459
ra0hdec-44.75    90   75301520    7.97434
ra0hdec-44.75    90   75310473    7.99092
ra0hdec-44.75    90   75458184    8.21680
ra0hdec-44.75    90   75466920    8.15568
ra0hdec-44.75    90   75593734    8.07900
ra0hdec-44.75    90   75602558    8.12662
ra0hdec-44.75    90   75611427    8.12078
ra0hdec-44.75    90   75739855    8.09432
ra0hdec-44.75    90   75748593    8.15094
ra0hdec-44.75    90   75757491    8.16436
ra0hdec-44.75    90   75885002    8.11075
ra0hdec-44.75    90   75893740    8.04757
ra0hdec-44.75    90   75902478    8.13154
ra0hdec-44.75    90   76032404    8.09661
ra0hdec-44.75    90   76041229    8.04170
ra0hdec-44.75    90   76168430    8.06691
ra0hdec-44.75    90   76177167    8.13011
ra0hdec-44.75    90   76186067    8.18201
ra0hdec-44.75    90   76312291    8.09800
ra0hdec-44.75    90   76321031    8.08179
ra0hdec-44.75    90   76329768    8.12632
ra0hdec-44.75    90   76455933    8.06873
ra0hdec-44.75    90   76464757    8.09865
ra0hdec-44.75    90   76473626    8.13432
ra0hdec-44.75    90   76601328    8.09971
ra0hdec-44.75    90   76610066    8.11802
ra0hdec-44.75   150   74877776    7.41152
ra0hdec-44.75   150   74886515    7.37776
ra0hdec-44.75   150   75013641    7.61559
ra0hdec-44.75   150   75022379    7.58802
ra0hdec-44.75   150   75031116    7.20668
ra0hdec-44.75   150   75157374    7.64544
ra0hdec-44.75   150   75166111    7.64134
ra0hdec-44.75   150   75174933    7.48762
ra0hdec-44.75   150   75301520    7.43443
ra0hdec-44.75   150   75310473    7.41793
ra0hdec-44.75   150   75458184    8.07456
ra0hdec-44.75   150   75466920    8.22033
ra0hdec-44.75   150   75593734    8.06233
ra0hdec-44.75   150   75602558    8.11709
ra0hdec-44.75   150   75611427    8.16950
